Images Database;A. Hash Hamming;P. Hash Hamming;D. Hash Hamming;W. Hash Hamming;CP Hash Hamming
Imagem Original;0;0;0;0;0
Alternative (1);0;2;2;2;14.16
Alternative (2);0;2;1;2;15.16
Alternative (3);0;2;1;2;14.66
Alternative (4);0;2;2;2;15.16
Alternative (5);0;2;1;2;15.16
Alternative (6);0;2;1;2;14.66
Alternative (7);0;2;2;2;15.16
Alternative (8);0;2;2;4;15.16
Alternative (9);0;2;1;4;15.16
Alternative (10);0;2;1;2;15.16
Alternative (11);0;2;1;2;15.16
Alternative (12);0;2;1;2;15.16
Alternative (13);0;0;1;4;15.16
Alternative (14);0;2;0;2;15.16
Alternative (15);0;2;2;4;15.16
Alternative (16);4;6;3;6;15.5
Alternative (17);4;8;4;6;15.16
Alternative (18);2;8;4;6;14.66
Alternative (19);2;6;5;6;15.16
Alternative (20);1;8;4;6;15.33
Alternative (21);3;8;2;6;15.33
Alternative (22);1;6;5;6;15.16
Alternative (23);0;2;2;2;15.16
Alternative (24);0;2;1;2;15.16
Alternative (25);0;2;1;2;15.16
Alternative (26);0;2;1;0;15.66
Alternative (27);0;2;1;2;15.16
Alternative (28);0;2;1;2;15.16
Alternative (29);0;2;1;2;15.16
