Images Database;A. Hash Hamming;P. Hash Hamming;D. Hash Hamming;W. Hash Hamming;CP Hash Hamming
Imagem Original;0;0;0;0;0
Alternative (1);0;0;2;0;15.4
Alternative (2);0;0;2;0;15.4
Alternative (3);0;0;1;0;15.2
Alternative (4);0;0;0;0;15.4
Alternative (5);0;0;0;0;15
Alternative (6);0;0;2;0;15.2
Alternative (7);0;0;1;0;15.4
Alternative (8);0;0;1;0;15
Alternative (9);0;0;0;0;15
Alternative (10);0;0;2;0;15
Alternative (11);0;0;2;0;15
Alternative (12);0;0;2;0;15
Alternative (13);0;0;0;0;15
Alternative (14);0;2;2;0;15.2
Alternative (15);0;0;1;0;15.2
Alternative (16);0;0;1;0;15.2
Alternative (17);10;10;10;11;15.4
Alternative (18);10;11;9;11;15.4
Alternative (19);10;10;10;11;14
Alternative (20);11;11;8;9;14.8
Alternative (21);10;10;9;11;15.2
Alternative (22);10;10;9;11;15
Alternative (23);10;10;9;11;15.2
Alternative (24);0;0;1;0;15
Alternative (25);0;0;1;0;15
Alternative (26);0;0;1;0;15
Alternative (27);0;0;0;0;15
Alternative (28);0;0;1;0;15.2
Alternative (29);0;0;2;0;15
Alternative (30);0;0;1;0;15
