Images Database,Hash MD5,Hash Sha1,Hash Sha256
Imagem Original,0eaf36d4881c513ca70b6684bfaa5b08,9a6d6e48b2e5d31eb9e2f38adb877140fa4b1538,ebe926ee8951fd5e1282b0945f72c00125c33819a4584dcceb258dbe1c6a1149
Bordas Enfatizadas,24aa3d32857e78a83e8445c50ac5efce,a8a8486d44ac4bae115038bd41558edb4c8d7623,6e8099909ea66726cb3779ab3ff0902582ae749993af68a5e9d710fe9f5956bc
Filtro de Guarssiana3x3,464f72a5af76bd97b4b5d96a2059a96c,07abd9e51e0f758784dd1cbff05478657bf77aa3,4065fc9ec56b83bb2a7961245ae049b556035779fb8d7229dafdddfb4231ba26
Filtro de Guarssiana7x7,fe043afc4c8dff4a38d412a275afa276,c25a7ba253a03c4386c0efc4324e82a7f54c67ae,234d6c8e44e3dff9a90bfbd181105547f8e16de7400ed8a46058dce7dc38ae13
Adição de Texto,b2e7b59dcf833c2475f42fcfaaeafd9e,89ba008d0f3178d6de166d2e4ebe28c80578fdaf,239fdf8d685372dad59dfe1cacce0df8b74b5f06ccdb02c04f83d5f3010d62a3
Imagem em Bmp,7ae31e13a04b4ccfcfaf048e15c766a7,40ac7cb339468652d4c46ccbf8bcf8aa99c4d12a,2b51d99a841b9ccc1fc0f4090ffc7dbf08953edc1e9ab85d8361c202874fd904
Imagem em Png,7070dd10cb1a403001413c260259e8f7,fa1a6ef353807ae866e7d4dbdfc61321a30078f5,dbed2d766361d972e6a8e6dc40864bd78b70d7e5f7fe86788983636bba3cdf99
Imagem em Tiff,4089f40074d5a537b4f60c2bd12ee584,53ab2e04ac00144bd52be90e86eda12685b7fa60,d24a9cfc44d91d562685ae9f4d3e7f683ecda44eee731d7b0db04cbdd7ce05f8
Pouca alteração,ceadac9ba1594b107113bdd1099d84fa,4896f088d1f2b5ee4e80a65097020cda67675b10,0d0a90dc18ee95b602b6a2eefb741f1f377d9b870ddcb5f2c6e71e61b307effe
Metade Alterada,d953edf7de92118e7af8e1df4cced302,2ca9bc6dd5261bc5d14959c56cb7f71b85d9ad14,c72da9874c918b260f81d74d83531c3fda7482cace42b541d6f22e9ebdae55ba
Muita alteração,410e10ab15dc9083b37419b72fbc77d9,6530ba8542e24619c5d53dbbc596803825c5551b,71f5c71472a0186d41c1ad4528f34d5aab68c9b7ccc65e7ed3d62296357aaade
Filtro de Média3x3,e2ac112c3546343f7cb989f9c8b7806a,1d343aee5632d1855ac790706f28c2e640087235,82bd26d7a2073ed01de7c86f41153e1e4968494ecf4233c70b6841dc084ec834
Filtro de Média7x7,d08a6eb1fe8a218bbd1c6cbeb9c7282b,a2d8105ad3aa0dce4384330e25759054d54803e1,464a5244d2098768ba3d14403de7777a6e02ee211c153988b244d346b6188558
Filtro de Mediana3x3,e862a46c3531af1b1f8305bcc135c3cc,94a9ae213262c7ab937710522e249e561e9fcd5e,ad877282225c9b35298600c37150b1f38eb24b3ee332307df50844668fe37c8d
Filtro de Mediana7x7,6bfd4cd20f373a2cf56141124203a34f,ebec55092172e20db182d58a085025b61f1645d5,9d59609189267d3e85515cf7fe8ee4290574783d2b6f37030418c15a056c165a
Ruído Sal e Pimenta,8c7411f5b1ce174a731b52c9cd691dd9,f767edfe69525c38a80433082c14eb6e8e1d6083,12f40c23652ef76edfcd825af95fdac16f456e2688dff7b991917c6d2aa5cd79
Binarização com OTSU,79ae38a3410f0fceeb9470c1ed31aff0,b933d24ff9e1b5786db4321a19126a302759abd4,2fd6ecff25ec4352a36303e45d63ae5585b1478d145f82bc4deb5b3b2a791c0d
Efeito Espelho,8d02d1a5b6c958143339e80e172fb473,a4320c15c71e6c7f621eaa506da7b34b24a7979e,a0d1c318edcacaf120dc37bb545f83f5d73314b2a92f9f6064ef9d818a9bfe3e
Escala de Cinza,d05242c62124a167293cdec3d7af807d,4e970e3a87fc4c89c9276d6902c0b168196cd8fa,aaa53f4bae6b29cc62c24ca64989483e8c3296a4dd23192707a9150090ff21f1
Adição de Objetos,27fc182ce01f08363c08acab0ce53fa8,e8e6d9ae564abcd9e21533b00173b657e377a18a,43b4f1d06dcb6c584a8fe87cc9104a7c4092ab04bf649ec1b04f884cb1f6252f
