Images Database,A.Hashing,P.Hashing,D.Hashing,W.Hashing,CPR Hash 01,CPR Hash 02,CPR Hash 03,CPR Hash 04,CPR Hash 05,CPR Hash 06,CPR Hash 07,CPR Hash 08
Imagem Original,b69cbd890b0b8f8c ,99c6562d7533a296 ,7670795b33135a38,be98bd890b0b8f8c,1838bc3c3c3cd8cc,cce5f172e767767a,67c6808082e23019,eede5bc79e67676f,016558c4f1f9f4fe,d8b1270c193376ac,,6c999932f2362644
Bordas Enfatizadas,b69cbd890b0b8f8c,99c6562d7533a296,6470795b33135a38,be98bd890b0b8f8c,1838bc3c1c3cd8cc,cce5f1327767367a,fedfdbe78e67676f,437111610987e1d8,d8b3270c1937762c,07e78703031fe3f1,ac999932d2362644,################
Filtro de Gaussiana3x3,b69cbd890b0b8f8c ,99c6562d7533a296 ,7670795b33135a38,be98bd890b0b8f8c,1838fc3c3c3cd8cc,cce5f172e767767a,67c7808082e23099,eede5bc79e67676f,212558c4f1f974fe,d8b1270c1933762c,07370f07071fe3f1,6c999932f2362644
Filtro de Gaussiana7x7,b69cbd890b0b8f8c ,99c6562d7533a296 ,7670795b33135a38,be98bd890b0b8f8c,1838bc3c3c3cd8cc,cce5f172e767767a,67c6808082e23099,eede5bc79e67676f,416558c4f1f9f4fe,d8b1270c1933762c,07770707071fe3f1,6c999932f2362644
Adição de Texto,b69c3d89090b0f8c,99c6d62d7523a296,7670795b33135a38,be98bd890b0b8f8c,1838bc3c3c3cd8cc,cce5f172e767767a,67c6808082e23099,eede5bc79e67676f,416558c4f1f9f4fe,d8b1270c1933762c,07770707071fe3f1,6c999932f2362644
Imagem em Bmp,b69cbd890b0b8f8c,99c6562d7533a296,7670795b33135a38,be98bd890b0b8f8c,1838bc3c3c3cd8cc,cce5f172e767767a,67c7808082e23099,eede5bc79e67676f,216548c4f1f9f4fe,d8b1270c193376ac,07370f07071fe3f1,6c999932f2362644
Imagem em Png,b69cbd890b0b8f8c,99c6562d7533a296,7670795b33135a38,be98bd890b0b8f8c,1838bc3c3c3cd8cc,cce5f172e767767a,67c7808082e23099,eede5bc79e67676f,216548c4f1f9f4fe,d8b1270c193376ac,07370f07071fe3f1,6c999932f2362644
Imagem em Tiff,b69cbd890b0b8f8c,99c6562d7533a296,7670795b33135a38,be98bd890b0b8f8c,1838bc3c3c3cd8cc,cce5f172e767767a,67c7808082e23099,eede5bc79e67676f,216548c4f1f9f4fe,d8b1270c193376ac,07370f07071fe3f1,6c999932f2362644
Pouca alteração,b61cbd890b0b8f8c,99c6562d7533a296,7670795b33135a38,be98bd890b0b8f8c,1c38bc3c3c3cd8cc,cce5f172e767767a,67c6808082e23099,eede5b471e67676f,416558c4f1f9f4fe,d8b1270c193376ac,07770707071fe3f1,6c999932f2362644
Muita alteração,0e0efdcd9b8b8f8e,9914142d75e3e6d6,7e30795b33135a38,0e0ebd8d8b0b8f8e,c4c0cc6c2cac2c2c,dccdb366e76f66f2,bc3c3c3c3c3cd8cc,c7c6808082e03099,362eaba78da6b7bf,d8b1270c1933762c,6c999932f2362644,################
Metade Alterada,ffffffef00000000,9b9fd46565a3a206,7670795b12000000,ffffffff00000000,7c981c3cbc3c3c1c,aeede4f2f2dc3939,274f9c78e0c0c080,67c6808082e23099,7670795b12000000,416558c4f1f9f4fe,################,################
Filtro de Média3x3,b69cbd890b0b8f8c ,99c6562d7533a296 ,7670795b33135a38,be98bd890b0b8f8c,1838fc3c3c3cd8cc,cce5f172e767767a,67c6808082e23099,eede5bc79e67676f,016558c4f1f9f4fe,d8b1270c1933762c,07770f07071fe3f1,6c999932f2362644
Filtro de Média7x7,b69cbd890b0b8f8c ,99c6562d7533a296 ,7670795b33135a38,be98bd890b0b8f8c,1838fc3c3c3cdccc,cce5f172e767767a,63c3c0c0c2e03898,eede5bc71e67676f,213448e0f1f974fe,d8b1270c1933762c,077f0f07071fe3f1,2c999932f2362644
Filtro de Mediana3x3,b69cbd890b0b8f8c ,99c6562d7533a296 ,7670795b33135a38,be98bd890b0b8f8c,1c38fc3c3c3cd8cc,cce5f172e767767a,67c7808082e23099,eede5bc79e67676f,213448e4f1f974fa,d8b1270c1933762c,07370f07071fe3f1,6c999932f2362644
Filtro de Mediana7x7,b69cbd890b0b8f8c ,99c6562d7533a296 ,7670795b33135a38,be98bd890b0b8f8c,1838fc3c3c3cd8cc,cce5f172e76776fa,67c7808082e03099,eede5bc71e67676f,416558c4f1f9f4fe,d8b1270c1933762c,077f0f07071fe3f1,6c999932f2362644
Ruído Sal e Pimenta,b69cbd890b0b8f8c,99c6562d7533a296,7670795b33131a38,b698bd8d0b0b8f8c,9c383c3cbc7cdccc,e5e258396b323b7d,8f1e38e2cf8c1832,65c7c184c3f238d9,eede5bc79e67676f,0359e11105e3316c,d8b3070c3b762c88,07970f83471fe3f1
Binarização com OTSU,be1e3d091b0b8e8c,9dc6d6a559a38a98,6474695b33131a38,bebe3d090b0b8e8c,143434b2fa32daca,ace5d1b376b7b6f0,e9b4f0f9d2726420,e85c5be7de676767,030111c105038110,c0b1a70c1b316624,030f070b6b03e170,c78f2d6f3e3c1f1e
Efeito Espelho,6d39bd91d0d0f131,cc9383782866f7c3,91f161253337a5e3,7d19bd91d0d0f131,cc5870b1101991a1,c7e3c0c3c3c3e4cc,191cfefebeb8f366,e4721bcf673391ca,7959e45c7060c080,8884251c86191909,1f10061e1d073870,c96666b3b0939bdd
Escala de Cinza,b69cbd890b0b8f8c,99c6562d7533a296,7670795b33135a38,be98bd890b0b8f8c,1838bc3c3c3cd8cc,cce5f172e767767a,67c7808082e23099,eede5bc79e67676f,216548c4f1f9f4fe,d8b1270c193376ac,07370f07071fe3f1,6c999932f2362644
Adição de Objetos,94fc7de9090b0f8c,9bc2162d71e3a29e,7431c9cb33135a38,94f87de90b0b0f8c,7431c9cb33135a38,3e3e3d0f0706e661,0124c8c4f1f9f4fa,e3a3360c1937762c,07370707071fe3f1,b3738c166767276f,7c191b33f3262644,################
