Images Database,A.Hashing,P.Hashing,D.Hashing,W.Hashing,CPR Hash 01,CPR Hash 02,CPR Hash 03,CPR Hash 04,CPR Hash 05,CPR Hash 06
Imagem Original,ffffc7cb01000000,b9c4c65a8bd15c3c,402416531b191a1f,ffffd7eb8b000000,00442616175b3b19,a5e7b2edccfcfade,c7d7f13858c4ee02,2246cc2d3a56cd91,849c4c481e9d2636,2616531b3b181e1b
Alternative (1),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b391a1b,ffffd7cb8b800000,0050243616535b3b,d1c08489ccdcf171,2616531b3b181a1b,################,################,################
Alternative (2),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b191a1b,ffffd7cb8b800000,0018264381297920,402416531b191a1b,################,################,################,################
Alternative (3),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b191a1b,ffffd7cb8b800000,0440243616535b3b,2616531b3b181a1b,################,################,################,################
Alternative (4),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b391a1b,ffffd7cb8b800000,402416531b391a1b,################,################,################,################,################
Alternative (5),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b191a1b,ffffd7cb8b800000,402416531b191a1b,################,################,################,################,################
Alternative (6),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b191a1b,ffffd7cb8b800000,0050243616535b3b,2616531b3b181a1b,################,################,################,################
Alternative (7),ffffc7cb01000000,b9c4d6528bd15c3c,402416531b391a1b,ffffd7cb8b800000,402416531b391a1b,################,################,################,################,################
Alternative (8),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b391a1b,ffffc7cb8b808000,402416531b391a1b,################,################,################,################,################
Alternative (9),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b191a1b,ffffc7cb8b808000,402416531b191a1b,################,################,################,################,################
Alternative (10),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b191a1b,ffffd7cb8b800000,402416531b191a1b,################,################,################,################,################
Alternative (11),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b191a1b,ffffd7cb8b800000,402416531b191a1b,################,################,################,################,################
Alternative (12),ffffc7cb01000000,b9c4d6528bd15c3c,402416531b191a1b,ffffd7cb8b800000,402416531b191a1b,################,################,################,################,################
Alternative (13),ffffc7cb01000000,b9c4c65a8bd15c3c,402416531b191a1b,ffffc7cb8b808000,402416531b191a1b,################,################,################,################,################
Alternative (14),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b191a1f,ffffd7cb8b800000,402416531b191a1f,################,################,################,################,################
Alternative (15),ffffc7cb01000000,b9c4d65a8b515c3c,402416531b391a1b,ffffc7cb8b808000,402416531b391a1b,################,################,################,################,################
Alternative (16),ffffcfcf0b000200,b9e6c68283d17c3c,412416531b391a3f,ffffc7cf0f000200,412416531b391a3f,################,################,################,################,################
Alternative (17),ffffcfcf0b000200,b9e6c48283f17c3c,002416531b391e3f,ffffc7cf0f000200,002416531b391e3f,################,################,################,################,################
Alternative (18),ffffc78b0b000000,b9e6c48283f17c3c,002436531b391a3f,ffffc7cf0f000200,002436531b391a3f,8e2e4d2938f4f626,131b492d1d9c9f1e,6c2d3f2627cf874e,4c27236171799b99,################
Alternative (19),ffffc7cb0b000200,b9c6c68283f17c3c,002416531b399a3a,ffffc7cf0f000200,002416531b399a3a,################,################,################,################,################
Alternative (20),ffffc7cb0b000000,b9e6c48283f17c3c,002436531b391a3f,ffffc7cf0f000200,2000200020103204,002436531b391a3f,################,################,################,################
Alternative (21),ffffc7cf0b000200,b9e6c48283f17c3c,402416531b391a3f,ffffc7cf0f000200,402416531b391a3f,################,################,################,################,################
Alternative (22),ffffc7cb0b000000,b9e6c68283f15c3c,002416531b399a3e,ffffc7cf0f000200,002416531b399a3e,################,################,################,################,################
Alternative (23),ffffc7cb01000000,b9c4d6528bd15c3c,402416531b391a1b,ffffd7cb8b800000,402416531b391a1b,################,################,################,################,################
Alternative (24),ffffc7cb01000000,b9c4d65a8bd15c34,402416531b191a1b,ffffd7cb8b800000,402416531b191a1b,################,################,################,################,################
Alternative (25),ffffc7cb01000000,b9c4d65a8bd15c34,402416531b191a1b,ffffd7cb8b800000,402416531b191a1b,################,################,################,################,################
Alternative (26),ffffc7cb01000000,b9c4d6528bd15c3c,402416531b191a1b,ffffd7eb8b000000,402416531b191a1b,################,################,################,################,################
Alternative (27),ffffc7cb01000000,b9c4d65a8bd15c34,402416531b191a1b,ffffd7cb8b800000,402416531b191a1b,################,################,################,################,################
Alternative (28),ffffc7cb01000000,b9c4d6528bd15c3c,402416531b191a1b,ffffd7cb8b800000,402416531b191a1b,################,################,################,################,################
Alternative (29),ffffc7cb01000000,b9c4d6528bd15c3c,402416531b191a1b,ffffd7cb8b800000,402416531b191a1b,################,################,################,################,################
