Images Database,A.Hashing,P.Hashing,D.Hashing,W.Hashing,CPR Hash 01,CPR Hash 02,CPR Hash 03,CPR Hash 04,CPR Hash 05
Imagem Original,ffffe7e080000000,f5a5854f4a60b725,e6ce8e991c149694,ffffe7e080860242,e3eecece8c1a7e16,9ececc9cded2d2ce,edfbfbeefcffdfdf,1707070707270606,e6ce8e991c149694
Alternative (1),ffffe7e080000000,f5a5854f4a60b725,e6ce8e893c149694,ffffe7e080860242,7c7ce8e8f8fce989,3ffffcf4f4f4f5e4,e6ce8e893c149694,################,################
Alternative (2),ffffe7e080000000,f5a5854f4a60b725,e6ce8e9938149694,ffffe7e080860242,b0808080c0c0e8d1,e6ce8e9938149694,################,################,################
Alternative (3),ffffe7e080000000,f5a5854f4a60b725,e6ce8e9918149694,ffffe7e080860242,e6ce8e9918149694,################,################,################,################
Alternative (4),ffffe7e080000000,f5a5854f4a60b725,e6ce8e991c149694,ffffe7e080860242,90d0b0b0f0dcb331,e6ce8e991c149694,################,################,################
Alternative (5),ffffe7e080000000,f5a5854f4a60b725,e6ce8e991c149694,ffffe7e080860242,e6ce8e991c149694,################,################,################,################
Alternative (6),ffffe7e080000000,f5a5854f4a60b725,e6ce8e891c549694,ffffe7e080860242,e6ce8e891c549694,################,################,################,################
Alternative (7),ffffe7e080000000,f5a5854f4a60b725,e6ce8e993c149694,ffffe7e080860242,f8fcd8d8f8f8f8d1,e6ce8e993c149694,################,################,################
Alternative (8),ffffe7e080000000,f5a5854f4a60b725,e6ce8e891c149694,ffffe7e080860242,e6ce8e891c149694,################,################,################,################
Alternative (9),ffffe7e080000000,f5a5854f4a60b725,e6ce8e991c149694,ffffe7e080860242,e6ce8e991c149694,################,################,################,################
Alternative (10),ffffe7e080000000,f5a5854f4a60b725,e6ce8e893c149694,ffffe7e080860242,e6ce8e893c149694,################,################,################,################
Alternative (11),ffffe7e080000000,f5a5854f4a60b725,e6ce8e893c149694,ffffe7e080860242,e6ce8e893c149694,################,################,################,################
Alternative (12),ffffe7e080000000,f5a5854f4a60b725,e6ce8e893c149694,ffffe7e080860242,e6ce8e893c149694,################,################,################,################
Alternative (13),ffffe7e080000000,f5a5854f4a60b725,e6ce8e991c149694,ffffe7e080860242,e6ce8e991c149694,################,################,################,################
Alternative (14),ffffe7e080000000,f5a1854f4a60b735,e6ce8e8918149694,ffffe7e080860242,e6ce8e8918149694,################,################,################,################
Alternative (15),ffffe7e080000000,f5a5854f4a60b725,e6ce8e9918149694,ffffe7e080860242,e6ce8e9918149694,################,################,################,################
Alternative (16),ffffe7e080000000,f5a5854f4a60b725,e6ce8e9918149694,ffffe7e080860242,e6ce8e9918149694,################,################,################,################
Alternative (17),3f7f6fef070e0202,91e3051f4ae0373f,eecede9d3e7cb6b6,3f7f6f67070e0202,eecede9d3e7cb6b6,################,################,################,################
Alternative (18),3f7f6fef070e0202,91e7051f48e0373f,eecede9d3e7cb6b4,3f7f6f67070e0202,eecede9d3e7cb6b4,################,################,################,################
Alternative (19),3f7f6fef070e0202,91e3051f4ae0373f,eecede9d3e7cb6b6,3f7f6f67070e0202,eede9e99bcbcb6b4,b0b43c3c383836b2,eecede9d3e7eb6b6,8101858101810929,################
Alternative (20),3f7f6fcf07060202,b1e3051f48e0373f,e6cece9d3c7cf6b6,3f7f6fe707060202,e6cece9d3c7cf6b6,################,################,################,################
Alternative (21),3f7f6fef070e0202,91e3051f4ae0373f,e6cede9d3e7cf6b6,3f7f6f67070e0202,e6cede9d3e7cf6b6,################,################,################,################
Alternative (22),3f7f6fef070e0202,91e3051f4ae0373f,eecede9d3c7cf6b6,3f7f6f67070e0202,eecede9d3c7cf6b6,################,################,################,################
Alternative (23),3f7f6fef070f0202,91e3051f4ae0373f,e6cedc9d3c7cb6b6,3f7f6f67070e0202,e6cedc9d3c7cb6b6,################,################,################,################
Alternative (24),ffffe7e080000000,f5a5854f4a60b725,e6ce8e891c149694,ffffe7e080860242,e6ce8e891c149694,################,################,################,################
Alternative (25),ffffe7e080000000,f5a5854f4a60b725,e6ce8e891c149694,ffffe7e080860242,e6ce8e891c149694,################,################,################,################
Alternative (26),ffffe7e080000000,f5a5854f4a60b725,e6ce8e991c14b694,ffffe7e080860242,e6ce8e991c14b694,################,################,################,################
Alternative (27),ffffe7e080000000,f5a5854f4a60b725,e6ce8e991c149694,ffffe7e080860242,e6ce8e991c149694,################,################,################,################
Alternative (28),ffffe7e080000000,f5a5854f4a60b725,e6ce8e9918149694,ffffe7e080860242,e6ce8e9918149694,################,################,################,################
Alternative (29),ffffe7e080000000,f5a5854f4a60b725,e6ce8e893c149694,ffffe7e080860242,e6ce8e893c149694,################,################,################,################
Alternative (30),ffffe7e080000000,f5a5854f4a60b725,e6ce8e891c149694,ffffe7e080860242,e6ce8e891c149694,################,################,################,################
