Images Database,A.Hashing,P.Hashing,D.Hashing,W.Hashing,CPR Hash 01,CPR Hash 02,CPR Hash 03,CPR Hash 04,CPR Hash 05,CPR Hash 06,CPR Hash 07,CPR Hash 08,CPR Hash 09
Imagem Original,fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,9eb639326a3236b2,4c5455a72524c54b,eb37c7f3b97939b9,3c64e8a2c6888ea4,5ac97eb8ec92d263,94b2307939b8b1f9,4659d98bcbcb9639,0e9e1e4e4fc7a783,713317c6db3574f0
Alternative (1),fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,9eb631326a3236b2,5c5525c5476ee6e6,3c64e8a2c68c86a4,9432307939b9b9f9,4659d98bcbcb9639,2c0d1e968f8f27a3,713317ce9b3574f0,################,################
Alternative (2),fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,9eb631326a3236b2,b1c0a0b4e4d6d8c2,1c2ca94bcd8c8d93,eb37c7f3b97939b9,59c936b8ecb2d24b,9432307979b8b9f9,4659d98bcbcb9639,713317ce9a3474f0,171617662c0f3b7c
Alternative (3),fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9639,fffdf9e1e5600000,9eb631326a3236b2,4c5455a72724c54b,eb37c7f3b97939b9,3c64e8a2c68886a4,5ac97eb8ec92d363,94b2307939b8b1f9,4659d98bcbcb9639,0c9e1e4e4fc7a783,713317c6db3474f0
Alternative (4),fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9e39,fffdf9e1e5600000,9eb639326a3236b2,4c5455a72524c54b,eb37c7f3b97939b9,3c64e8a2c688c4a4,5bc97eb8ec92d343,94b2307939b8b1f9,4659d98bcbcb9e39,0e9e1e0e0fc7a783,713317c6db3474f0
Alternative (5),fffde8c1e5600000,e3e994e5b5acc091,4659d98bcbcb9e39,fffdf9e1e5600000,9eb631326a3236b2,4c5455a72724c54b,e327c7f3b97939b9,3464e8d2e6888cb4,49c936e8ac925b63,94b0307939b8b1f8,4659d98bcbcb9e39,9e9e1ece4fc7e743,713317ce9a3174f0
Alternative (6),fffdf9e1c1400000,e9cb94e5a5acc0c5,4659d98b8b8b9a39,fffdf9e1e1414000,9eb639326a3030b2,b1c9a1b4e4d4d8c6,1c2cab4bcd0c8d93,eb37c7f3b97939b9,3c64e8a2c68886a4,5ac97eb8ec92d263,913556d4b9244125,4659d98b8b8b9a39,0c9e1e4e4fc7a792
Alternative (7),fffdf9e1c1400000,e9cb94e5a5acc0c5,4659d98b8b8b9c39,fffdf9e1e1414000,9eb631326a3030b2,b1c0a0b4e4d6d8c2,1c2ca94bcd8c8d93,eb37c7f3b97939b9,59c936b8ecb2d24b,b1345694b9644325,4659d98b8b8b9c39,713317ce9a3474f0,171617662c0f3b7c
Alternative (8),fffdf9e1c1400000,e9cb94e5a5ac90c5,4659d98b8b8b9a39,fffdf9e1e1414000,9eb631326a3030b2,4c5455a72724c54b,eb37c7f3b97939b9,3c64e8a2c68886a4,5ac97eb8ec92d363,913556d4b9244125,4659d98b8b8b9a39,0c9e1e4e4fc7a783,713317c6db3474f0
Alternative (9),fffdf9e1c1400000,e9cb94e5a5acc0c5,4659d98b8b8b9a39,fffdf9e1e1414000,9eb639326a3030b2,4c5455a72524c54b,eb37c7f3b97939b9,3c64e8a2c688c4a4,5bc97eb8ec92d343,913556d4b9244125,4659d98b8b8b9a39,0e9e1e0e0fc7a783,713317c6db3474f0
Alternative (10),fffdf9e1c1400000,e9cb94e5a5ac90c5,4659998b8b8b9a39,fffdf9e1e1414000,9eb631326a3030b2,4c5455a72524c54b,eb37c7f3b97939b9,3c6ce8e28688cca4,5bc97ed8ec92d36b,b134569cb0644125,4659998b8b8b9a39,2c2c1e9e8f8f2707,713317ce9b3474f0
